"id","parent_id","name","code","account_type","tag_ids","reconcile","non_trade"
"p10000000","","Share Capital","10000000","equity","l10n_in.account_tag_share_capital","False",""
"p10000001","p10000000","Equity Share Capital","10000001","equity","l10n_in.account_tag_share_capital","False",""
"p10100000","","Capital Reserves","10100000","equity","l10n_in.account_tag_reserves_surplus","False",""
"p10100050","","Capital Redemption Reserve","10100050","equity","l10n_in.account_tag_reserves_surplus","False",""
"p10100100","","Securities Premium","10100100","equity","l10n_in.account_tag_reserves_surplus","False",""
"p10100150","","Debenture Redemption Reserve","10100150","equity","l10n_in.account_tag_reserves_surplus","False",""
"p10100200","","Revaluation Reserve","10100200","equity","l10n_in.account_tag_reserves_surplus","False",""
"p10100250","","Share Options Outstanding Account","10100250","equity","l10n_in.account_tag_reserves_surplus","False",""
"p10100300","","Other Reserves","10100300","equity","l10n_in.account_tag_reserves_surplus","False",""
"p10100350","","Surplus / Retained Earning","10100350","equity","l10n_in.account_tag_reserves_surplus","False",""
"p10100351","p10100350","Reserve And Surplus Account","10100351","equity","l10n_in.account_tag_reserves_surplus","False",""
"p10200000","","Money received against share warrants","10200000","equity","l10n_in.account_tag_money_received_against_share_warrants","False",""
"p11000000","","Share application money pending allotment","11000000","equity","l10n_in.account_tag_share_application_money_pending_allotment","False",""
"p12000000","","Bonds/Debenture - Secured","12000000","liability_non_current","l10n_in.account_tag_long_term_borrowings","False",""
"p12000050","","Bonds/Debenture - Unsecured","12000050","liability_non_current","l10n_in.account_tag_long_term_borrowings","False",""
"p12000100","","Term Loan from Banks - Secured","12000100","liability_non_current","l10n_in.account_tag_long_term_borrowings","False",""
"p12000101","p12000100","Long Term Secured Loan Account","12000101","liability_non_current","l10n_in.account_tag_long_term_borrowings","False",""
"p12000150","","Term Loan from Banks - Unsecured","12000150","liability_non_current","l10n_in.account_tag_long_term_borrowings","False",""
"p12000151","p12000150","Long Term Unsecured Loan Account","12000151","liability_non_current","l10n_in.account_tag_long_term_borrowings","False",""
"p12000200","","Term Loan from Others - Secured","12000200","liability_non_current","l10n_in.account_tag_long_term_borrowings","False",""
"p12000250","","Term Loan from Others - Unsecured","12000250","liability_non_current","l10n_in.account_tag_long_term_borrowings","False",""
